Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
59,612,1,0,0,5,0,0
59,1111,0,0,0,0,8,0
59,5587,1,0,1,3,0,0
59,6326,0,0,0,0,1,0
59,4541,0,0,0,9,0,0
59,6194,1,0,0,0,9,0
60,401,1,0,0,5,0,1
60,5945,1,0,1,0,6,0
60,2199,0,1,0,3,0,0
60,5546,1,0,0,1,7,0
60,384,1,0,0,5,0,1
60,3136,0,0,0,1,0,0
61,1629,2,0,3,1,3,1
61,2028,2,0,0,0,3,0
61,1885,0,0,0,7,0,0
61,3274,1,0,0,8,0,0
61,5279,0,0,0,0,0,0
61,2890,1,0,2,0,3,0
62,6802,1,0,1,0,5,1
62,1599,0,0,2,2,0,0
62,2363,0,1,2,4,0,0
62,5338,1,0,1,0,6,0
62,422,1,0,1,3,0,0
62,1418,0,0,0,3,0,0
63,339,1,0,0,3,0,1
63,4456,0,0,2,3,0,0
63,346,0,2,3,0,0,1
63,614,0,0,4,1,0,0
63,4472,0,0,0,4,0,0
63,540,1,0,3,0,3,1
64,116,0,0,1,2,0,0
64,6334,2,0,4,0,0,1
64,6326,0,0,2,0,6,0
64,6882,0,0,1,0,6,0
64,5587,0,0,0,0,0,0
64,2534,1,0,6,3,0,0
65,5950,1,0,0,0,5,0
65,2377,0,0,1,3,0,1
65,4541,0,0,1,5,0,0
65,5945,1,0,0,0,7,0
65,620,0,0,1,1,0,1
65,5724,0,0,0,5,0,0
66,611,1,0,0,1,0,0
66,2199,0,0,3,6,0,0
66,5243,0,0,4,0,3,0
66,1111,0,0,0,3,0,0
66,2914,0,0,1,0,2,0
66,6504,0,0,0,0,4,1
67,836,0,1,4,1,0,0
67,3793,0,0,1,0,8,0
67,401,1,0,0,4,0,1
67,5115,0,0,0,3,0,0
67,2537,0,0,2,0,2,0
67,5804,1,0,0,5,0,0
68,1262,1,0,0,2,0,1
68,122,0,1,0,3,0,0
68,1522,0,0,0,0,6,1
68,384,1,0,0,4,0,0
68,623,1,0,1,3,0,1
68,2106,0,0,0,2,2,0
69,3136,0,0,3,1,0,1
69,1727,0,0,1,0,0,0
69,888,1,0,3,0,4,0
69,4242,1,0,1,0,6,0
69,977,1,0,3,0,0,0
69,612,0,0,0,5,3,0
70,5957,0,0,4,0,0,0
70,6194,0,0,3,0,7,0
70,1610,1,0,0,1,0,0
70,1731,0,1,0,0,5,0
70,5546,1,0,6,0,0,1
70,1086,0,0,0,4,0,0
71,5950,1,0,6,0,0,0
71,5945,1,0,2,0,8,0
71,339,0,0,0,4,0,0
71,6504,0,0,1,0,4,1
71,2028,1,0,2,0,0,0
71,2377,0,0,0,6,0,1
72,5243,0,1,0,1,3,0
72,346,0,0,5,3,0,1
72,401,1,0,0,3,0,0
72,5338,1,0,4,0,3,0
72,5724,1,0,0,3,0,0
72,3274,0,0,0,6,0,0
73,2534,0,0,2,4,0,0
73,2537,0,1,1,0,7,0
73,422,0,0,1,2,0,0
73,122,0,0,0,4,1,0
73,5804,1,0,0,5,0,1
73,611,0,1,4,1,5,0
74,2914,0,0,1,0,7,0
74,620,0,0,1,2,0,1
74,384,0,1,1,3,0,0
74,6882,0,0,1,0,4,1
74,612,0,1,0,2,1,0
74,1599,1,0,0,4,0,0
75,6326,1,0,0,0,9,0
75,1111,0,0,0,4,0,0
75,1086,1,0,1,2,0,1
75,836,0,1,2,5,0,0
75,1262,0,1,2,2,0,1
75,2363,1,0,0,0,9,0
76,5115,0,0,5,0,0,0
76,1629,0,1,2,1,8,1
76,623,0,0,3,2,0,1
76,1610,1,0,1,0,4,0
76,5587,1,0,2,0,0,0
76,540,0,0,3,1,0,1
77,5279,0,0,0,0,0,1
77,6802,0,0,0,3,0,1
77,1727,0,0,2,0,2,0
77,6334,2,0,8,0,0,1
77,6194,0,0,2,0,9,0
77,5546,0,0,0,5,0,1
78,614,0,0,5,1,2,0
78,3136,0,0,0,2,2,1
78,116,0,0,2,3,0,0
78,2890,0,0,3,0,3,1
78,1522,0,0,7,0,0,1
78,1885,0,0,0,6,0,0
79,5957,0,0,1,1,9,0
79,1731,1,0,3,0,0,1
79,1418,0,1,0,3,0,1
79,4242,1,0,4,0,0,1
79,3793,0,0,0,5,2,0
79,4456,0,0,2,0,0,0
80,977,0,0,0,3,0,1
80,888,1,0,0,0,9,1
80,2106,1,0,0,3,0,0
80,4472,0,1,0,0,7,1
80,2199,1,0,1,4,0,0
80,4541,1,0,0,5,0,0
81,401,1,0,2,6,0,0
81,1086,0,1,0,0,0,0
81,2914,0,0,0,0,2,0
81,2377,1,0,0,0,8,1
81,623,0,1,1,2,0,0
81,122,1,0,1,3,1,0
82,2537,0,0,0,5,0,1
82,540,0,0,0,0,8,0
82,1111,1,0,0,0,0,0
82,422,0,1,0,3,0,0
82,1727,0,0,2,0,0,1
82,5945,1,0,0,0,9,0
83,5587,1,0,3,1,2,0
83,384,0,1,2,3,0,0
83,6504,0,0,1,0,5,1
83,5279,0,0,1,0,1,0
83,836,0,0,4,0,0,0
83,3136,0,0,0,0,0,0
84,611,0,0,5,1,0,0
84,5338,0,0,3,0,0,0
84,5957,0,0,3,0,6,0
84,1262,0,1,2,3,3,1
84,1629,1,0,5,3,0,0
84,620,0,1,2,0,2,1
85,5115,0,1,0,3,0,0
85,977,0,0,3,0,2,1
85,5546,0,0,0,4,0,0
85,5950,1,0,4,0,0,0
85,346,0,0,0,5,0,1
85,4242,1,0,1,0,4,1
86,2106,0,0,2,3,0,1
86,614,1,0,3,1,0,0
86,5243,0,1,0,4,0,1
86,1599,1,0,3,3,0,0
86,2028,0,0,1,0,0,0
86,6194,0,0,1,0,8,0
87,4456,0,0,5,0,0,0
87,888,0,0,4,0,4,1
87,5724,0,0,0,4,0,0
87,6334,2,0,6,0,0,1
87,1885,0,1,1,5,0,1
87,5804,1,0,5,0,3,0
88,2199,1,0,0,5,0,0
88,1610,0,0,1,0,0,0
88,6326,1,0,0,5,0,0
88,116,0,0,0,4,2,0
88,1418,1,0,0,2,0,1
88,2890,1,0,0,0,4,0
89,3793,0,0,1,3,6,0
89,4541,0,0,0,5,0,0
89,1522,0,0,5,0,0,1
89,339,1,0,2,2,0,1
89,2363,0,0,0,4,0,0
89,6882,0,0,2,0,1,0
90,1731,0,2,0,0,9,0
90,2534,1,0,6,0,0,0
90,4472,0,0,0,0,5,0
90,3274,1,0,5,3,1,0
90,612,0,1,1,3,0,0
90,6802,0,0,2,0,5,0
91,5243,1,0,0,0,5,0
91,384,0,1,0,4,0,1
91,4242,1,0,3,0,0,0
91,2377,1,0,0,2,0,1
91,540,1,0,1,0,5,1
91,611,0,0,0,7,0,0
92,6334,1,0,7,0,0,1
92,623,1,0,0,5,0,1
92,2028,0,0,2,0,9,0
92,3136,0,0,6,0,2,1
92,5804,1,0,0,3,2,0
92,346,0,1,5,2,0,1
93,5957,1,0,0,2,2,0
93,2914,0,0,2,0,4,0
93,977,1,0,4,0,0,1
93,5587,0,0,4,1,0,0
93,422,0,1,4,2,2,0
93,2890,1,0,0,0,2,1
94,1522,0,0,5,0,0,0
94,620,0,0,1,3,0,0
94,1086,1,0,0,4,5,0
94,1885,0,0,2,4,0,0
94,5115,0,0,1,4,0,0
94,6326,0,0,2,0,5,0
95,1727,0,0,1,0,5,1
95,1731,0,1,1,2,0,0
95,2537,1,0,2,3,0,0
95,5724,0,0,2,2,0,0
95,4541,1,0,5,0,1,0
95,2363,0,0,0,4,0,1
96,3793,1,0,1,1,1,0
96,5950,1,0,5,0,0,0
96,116,0,0,0,5,0,0
96,1111,1,0,1,0,3,0
96,2106,0,0,1,3,0,1
96,6802,1,0,0,0,0,0
97,5338,1,0,0,0,9,0
97,4456,0,0,5,0,0,0
97,1629,2,0,0,7,0,1
97,5546,1,0,4,0,4,1
97,836,0,1,0,2,0,0
97,122,1,0,0,3,0,0
98,1418,1,0,0,5,0,1
98,6194,0,0,2,0,5,0
98,6882,0,0,0,0,0,1
98,401,1,0,0,3,4,0
98,6504,0,0,1,0,4,1
98,4472,0,0,0,4,0,1
99,1262,0,1,0,3,3,0
99,5945,1,0,0,2,5,1
99,3274,0,0,4,1,0,0
99,612,1,0,1,4,5,0
99,614,0,1,5,0,0,0
99,2199,0,0,1,6,0,0
100,1610,1,0,2,0,1,0
100,5279,0,0,1,0,2,0
100,1599,1,0,0,4,0,1
100,888,0,0,0,0,8,0
100,339,0,1,0,4,0,1
100,2534,1,0,2,0,1,0
101,4541,1,0,0,3,0,0
101,2914,0,0,1,0,2,0
101,5243,0,1,5,0,0,0
101,1731,0,1,0,0,9,0
101,6334,1,0,7,1,0,1
101,384,1,0,0,3,0,0
102,1727,0,0,0,0,2,0
102,5587,1,0,0,0,0,0
102,4456,0,0,7,0,1,0
102,346,0,0,4,2,0,1
102,620,0,1,2,1,0,0
102,3793,0,0,0,0,2,0
103,6194,0,0,0,0,3,0
103,540,0,0,4,0,0,1
103,836,0,0,1,4,0,0
103,977,1,0,0,0,0,0
103,6882,0,0,1,0,2,1
103,116,0,0,0,0,3,0
104,2537,0,0,0,4,0,0
104,5546,1,0,0,2,1,1
104,5338,1,0,1,0,5,0
104,1418,0,0,1,4,0,1
104,6504,0,0,1,0,6,0
104,1885,0,0,0,4,0,0
105,5957,0,0,1,0,2,0
105,3136,0,0,0,2,0,0
105,1111,0,0,1,2,0,0
105,122,0,0,1,4,0,0
105,614,1,0,5,0,3,0
105,5724,0,0,1,0,2,0
106,888,0,0,1,0,4,1
106,2028,0,0,2,0,0,0
106,5945,1,0,6,0,0,1
106,6802,1,0,1,1,0,1
106,5115,0,1,3,1,1,0
106,1522,0,0,1,0,4,1
107,623,0,0,1,1,2,0
107,5279,0,0,0,0,5,0
107,611,1,0,0,3,0,0
107,2890,1,0,1,0,0,0
107,2106,0,0,1,4,0,0
107,1086,0,0,1,1,2,0
108,1599,0,0,2,0,3,1
108,5804,1,0,0,5,0,1
108,1629,0,1,3,3,0,0
108,2199,0,0,0,5,0,0
108,1262,0,0,0,3,0,1
108,4242,0,0,2,0,3,1
109,3274,0,0,1,1,0,0
109,5950,1,0,3,0,0,0
109,4472,0,0,4,2,2,1
109,2377,0,0,2,3,0,1
109,6326,0,0,0,0,2,0
109,422,0,0,1,1,0,0
110,2363,0,1,1,2,1,1
110,2534,1,0,6,0,0,1
110,612,1,0,0,3,6,0
110,401,1,0,1,2,0,1
110,339,0,0,0,5,0,0
