Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
48,3941,1,0,0,1,6,0
48,6239,0,0,1,0,0,1
48,2849,0,0,2,0,7,0
48,339,1,0,0,0,0,0
49,5115,0,0,2,2,0,0
49,3748,0,0,3,0,4,0
49,4472,0,0,0,4,0,1
49,4137,0,0,0,0,2,0
49,449,0,0,0,3,0,0
49,4541,1,0,3,2,0,0
50,6213,0,0,0,0,0,0
50,6863,0,0,0,0,0,0
50,5243,0,0,0,0,0,0
50,6584,0,0,0,0,0,0
50,2537,0,0,0,0,0,0
50,1727,0,0,0,0,0,0
51,2961,0,0,0,0,0,0
51,1629,2,0,0,0,0,0
51,4099,0,0,0,0,0,0
51,2964,0,0,0,0,0,0
51,5945,0,0,1,0,9,0
51,339,1,0,0,0,0,0
52,2849,1,0,3,0,0,0
52,3941,0,0,0,0,8,0
52,449,0,0,0,2,0,0
52,2199,0,0,0,4,0,0
52,3389,1,0,0,0,0,0
52,686,1,0,2,0,5,0
53,3714,0,0,0,0,0,0
53,6326,0,0,0,2,4,0
53,6213,0,0,0,0,0,0
53,6863,0,0,1,0,0,0
53,5115,1,0,0,1,3,0
53,836,0,0,0,3,0,1
54,2961,0,0,0,0,1,0
54,4137,0,0,0,0,1,0
54,3748,0,0,0,2,0,0
54,5243,0,0,0,1,0,0
54,2988,0,0,1,0,0,0
54,5945,0,0,1,0,5,1
55,1915,0,0,0,0,3,0
55,4541,1,0,1,4,0,0
55,2421,0,0,0,1,0,0
55,4456,0,0,5,0,0,0
55,2537,1,0,0,3,0,0
55,5549,0,0,0,0,7,0
56,1629,2,0,1,7,0,1
56,5841,0,0,0,0,2,0
56,6584,0,0,0,0,0,0
56,1727,0,0,2,0,0,0
56,614,1,0,1,1,9,0
56,2377,0,1,0,2,0,0
57,6239,0,0,1,1,0,1
57,4472,1,0,0,2,2,0
57,2964,0,0,0,0,3,0
57,4949,0,0,0,0,0,0
57,6505,0,0,0,0,3,1
57,3650,0,0,0,0,2,1
58,5115,1,0,2,1,0,0
58,4541,0,0,0,5,0,0
58,6213,0,0,0,0,0,0
58,2849,0,0,0,1,4,0
58,686,1,0,0,4,0,0
58,6863,0,0,1,0,1,0
59,836,1,0,0,2,0,1
59,5549,0,0,2,0,2,0
59,2988,0,0,0,0,0,0
59,339,1,0,0,4,0,1
59,3714,0,0,0,0,0,0
59,5841,0,0,0,0,4,0
60,2537,1,0,0,5,0,1
60,4099,0,0,4,0,1,0
60,1915,0,0,0,0,1,0
60,3748,0,0,2,0,7,0
60,5243,0,0,2,3,0,0
60,449,0,0,3,3,0,0
61,1629,2,0,0,3,9,1
61,2199,0,0,0,5,0,0
61,4456,0,0,7,0,0,0
61,2964,0,0,3,0,0,0
61,6584,0,0,0,0,4,0
61,3389,1,0,2,3,0,1
62,6239,0,0,3,0,0,0
62,4949,0,0,0,0,0,0
62,1727,0,0,2,0,3,0
62,4137,0,0,1,0,4,0
62,2377,0,0,2,3,0,1
62,2421,0,1,2,1,1,0
63,2961,0,0,0,0,1,0
63,4472,0,1,0,5,0,1
63,3941,0,0,1,0,7,0
63,3650,0,0,0,0,0,1
63,614,0,0,0,5,0,0
63,5945,0,0,4,0,9,0
64,6505,0,0,0,0,5,0
64,4456,1,0,4,0,0,0
64,1915,0,0,0,0,0,0
64,3389,1,0,4,2,0,0
64,1629,2,0,1,4,0,1
64,6326,0,0,0,0,8,0
65,686,1,0,0,5,0,0
65,4137,0,0,0,0,4,0
65,2964,0,0,0,0,0,1
65,5115,0,0,0,0,0,0
65,2421,1,0,1,0,8,8
65,339,0,0,2,5,1,1
66,2849,0,0,0,2,0,0
66,1727,0,0,3,0,3,0
66,6213,0,0,1,0,0,0
66,5945,0,0,2,0,7,0
66,836,0,0,0,5,0,0
66,3748,0,0,2,1,0,0
67,2377,0,0,1,3,1,1
67,2961,0,0,0,0,1,0
67,2537,0,0,4,1,2,0
67,4472,1,0,0,1,0,0
67,6505,0,0,1,0,6,0
67,3714,0,0,0,0,0,0
68,6863,0,0,1,0,0,0
68,2988,0,0,1,0,3,0
68,2199,1,0,0,4,0,0
68,3941,0,0,1,1,9,0
68,5841,0,0,0,0,0,0
68,5243,0,1,0,4,0,0
69,3650,0,0,0,0,1,1
69,4541,1,0,0,5,1,0
69,6326,0,0,1,1,4,0
69,6584,0,0,0,0,5,0
69,449,1,0,0,4,0,0
69,5549,0,0,2,0,0,0
